id,country_name
1,Республика Казахстан
2,Iran (Islamic Republic)
190,Узбекистан
258,Российская Федерация
260,Азербайджан
262,Грузия
280,Туркменистан
348,Таджикистан
470,Киргизия (Кыргызстан)
474,Украина
651,Беларусь
1294,Turkmenistan
1310,Армения
1988,Молдавия (Молдова)
9975,КАЗАХСТАН
11204,Uzbekistan
13902,Armenia
20426,Azerbaijan
86889,Russian Federation
123667,Великобритания
130191,Китай
143289,Германия
146066,Kyrgyzstan
149690,Монголия
155116,Georgia
157192,Tajikistan
169185,""
253099,Казахстан
259800,Belarus
329012,Ukraine
333722,Афганистан
349654,Эстония
352594,Мешок
461520,Moldova
479521,Индия
667143,Швейцария
798253,Польша
918288,Serbia
925496,China
925498,Japan
925516,United States
925530,Turkey
925538,Afghanistan
925542,Germany
925646,Italy
925652,Spain
925664,Netherlands
925744,Poland
925856,Saudi Arabia
925954,Senegal
925974,South Korea
926062,Switzerland
926203,Япония
926230,India
926256,Cyprus
926602,Indonesia
926606,Пакистан
926714,Canada
926994,United Arab Emirates
927016,Romania
927080,Republic of Korea
927082,Sweden
927246,Singapore
927360,Czech Republic
927385,Вьетнам
928140,Bosnia and Gerzegovina
928366,Belgium
928422,Iran
928423,Малайзия
929069,Венгрия
929960,Республика Латвия
930524,Тайвань (Китай)
930630,Mexico
931220,Iraq
931253,Турция
931468,Соединенные Штаты Америки
931522,Denmark
931682,Lithuania
931897,Австрия
931942,El Salvador
932483,Республика Корея
932834,Sri Lanka
932910,Pakistan
932920,Austria
932980,Egypt
933407,Бельгия
933417,Италия
933419,Франция
933441,Словакия
933443,Чешская Республика
933451,Румыния
933525,Дания
934764,Latvia
935324,Кувейт
935378,United Kingdom
935472,Bermuda
936186,"Иран, Исламская Республика"
936370,Albania
937420,Algeria
937471,Бангладеш
937800,"Ирак, Республика Ирак"
938013,Швеция
941420,Hong Kong
941562,Malta
941817,Греция
942110,Greece
942492,Colombia
942789,Литва
962675,Мексика
982398,Таиланд
982552,Qatar
982556,Morocco
982682,Острова Кайман
983163,Нидерланды
983245,Болгария
983428,Bahrain
985905,Словения
1058537,Сербия
1081261,Хорватия
1256462,"Молдова, Республика"
1299284,Viet Nam
1299672,Hungary
1299886,Norway
1300266,Slovakia
1300278,France
1301222,Estonia
1304964,Israel
1307836,Bulgaria
1307960,Australia
1314300,Slovenia
1326982,Finland
1335815,"Republic of Kazakhstan, 140001, Pavlodar region, Pavlodar city, industrial zone Vostochnaya, building 60/2"
1335816,"Primary unalloyed aluminium 99,7
pct (А7Э) in the form of ingots"
1336714,Luxembourg
1342148,Taiwan (Province of China)
1345850,Мальта
1347724,Канада
1351798,Portugal
1352140,Tunisia
1353428,Латвия
1353562,Финляндия
1353784,Норвегия
1353900,Испания
1354332,Кипр
1358496,Bolivia
1358617,Индонезия
1358737,Ирландия
1359000,Mongolia
1359198,Peru
1360223,Республика Казахстан 
1360224,United States 
1360754,Исландия
1360834,Jordan
1360864,Гонконг
1361345,Египет
1361356,Израиль
1362870,Bangladesh
1363842,Ireland
1364676,South Africa
1365104,Kuwait
1366949,Сингапур
1366982,Croatia
1367265,Cambodia
1367450,Lebanon
1367862,Thailand
1369057,Камбоджа
1370212,Namibia
1370675,Иордания
1371697,KAZAKHSTAN
1373371,Мьянма
1375478,Brazil
1377720,Chile
1378912,Argentina
1389540,Malaysia
1391908,Cameroon
1397290,Oman
1397916,Syrian Arab Republic
1403003,Kazakhstan
1403238,Moldova Republic of
1411084,Объединенные Арабские Эмираты
1413193, Республика Казахстан       
1413194, China                
1416579,Филиппины
1425122,Nigeria
1431536,Mali
1432850,Cote d'lVoire
1433546,Ghana
1451739,Тунис
1454944,Македония
1460198,New Zealand
1462807,Аргентина
1477381,Шри-Ланка
1490393,Босния и Герцеговина
1492538,Uruguay
1495223,Португалия
1502182,Rеpublique Dеmocratique du Congo
1505692,Mauritania
1519111,Южно-Африканская Республика
1520448,Сирийская Арабская Республика
1531288,Lithuania 
1533071,Чили
1556506, Poland 
1574870,North Macedonia
1592742,Оман
1595763,Люксембург
1599996,Катар
1607119,Сьерра-Леоне
1648840,Ethiopia
1651684,Panama
1665652,Sudan
1666412,Ecuador
1669821,Кения
1701516,Бахрейн
1716166,Zimbabwe
1716640,Сенегал
1716702,Мали
1736267,Европейский союз
1753732,Djibouti
1774982,Congo
1775726,Trinidad and Tobago
1784436,Central African Republic
1807183,Republic of Kazakhstan
1809368,Macedonia The former Yugoslav Republic o
1811412,Gabon
1817430,Montenegro
1826306,Иран
1837859,Бразилия
1842477,Kenya
1847666,Корея Республика
1854143,Малаизия
1856807,Республике Казахстан
1858595,Саудовская Аравия
1859924,Алжир
1862520,Австралия
1864042,Бермудские Острова
1871382,Марокко
1872778,Ирак
1874114,Philippines
1878900,Virgin Islands (British)
1885864,Парагвай
1888222,Ливан
1892752,Колумбия
1894464,Macau
1901266,Тайвань(провинция Китай)
1904070,Libyan Arab Jamahiriya
1911416,Мозамбик
1912152,Dominican Republic
1928868,Сянган (Гонконг)
1934002,Ангола
