document_id,issue_date,end_date,authorisation_licence,manufacturer_name,bin_iin
KZ.7500651.01.01.06223,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06224,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.24.01.01772,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06219,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06220,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06222,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06221,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06214,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06215,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06216,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06213,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06218,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7500651.01.01.06217,2019-10-31,2020-10-31,-,Учреждение «Алматинское учебно-производственное предприятие №1 Общественного объединения «Казахстанское общество глухих»,370340000015
KZ.7100317.24.01.03404,2019-10-23,2022-10-23,-,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",941240000321
KZ.7100317.24.01.03403,2019-10-23,2022-10-23,-,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",941240000321
KZ.7100317.22.01.00148,2019-10-23,2022-10-23,-,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",941240000321
KZ.7100317.22.01.00149,2019-10-23,2022-10-23,-,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",941240000321
-,,,-,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",941240000321
TC N RU Д-KZ.АЛ16.В.51299,2016-07-11,2021-07-10,-,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",160240028444
TC N RU Д-KZ.АЛ16.В.54993,2016-09-28,2021-09-27,-,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",160240028444
ТС N RU KZ.АУ40.В.27941,2016-07-06,2021-07-05,-,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",160240028444
KZ.5910317.22.01.00040,2020-03-04,2021-03-04,-,ТОО Trans Motors Group,120340017336
KZ.5910317.22.01.00041,2020-03-04,2021-03-04,-,ТОО Trans Motors Group,120340017336
