id,industrial_certificate_number
1,KZ.7500651.01.01.06223
7,KZ.7500651.01.01.06224
8,KZ.7500651.24.01.01772
9,KZ.7500651.01.01.06219
11,KZ.7500651.01.01.06220
13,KZ.7500651.01.01.06222
14,KZ.7500651.01.01.06221
16,KZ.7500651.01.01.06214
18,KZ.7500651.01.01.06215
20,KZ.7500651.01.01.06216
21,KZ.7500651.01.01.06213
27,KZ.7500651.01.01.06218
28,KZ.7500651.01.01.06217
29,KZ.7100317.24.01.03404
31,KZ.7100317.24.01.03403
32,KZ.7100317.22.01.00148
33,KZ.7100317.22.01.00149
37,-
44,TC N RU Д-KZ.АЛ16.В.51299
45,TC N RU Д-KZ.АЛ16.В.54993
46,ТС N RU KZ.АУ40.В.27941
47,KZ.5910317.22.01.00040
62,KZ.5910317.22.01.00041
85,Сертификат соответствия №KZ.7100749.01.01.00667
105,ТС N RU Д-KZ. ОМО2.В.21145
106,ТС RU C-KZAB24.B.04706
109,ТС RU L-KZ. Б32.В.03349
126,KZ.7500995.22.01.20038
131,KZ.7500995.22.01.20037
137,KZ.7500995.22.01.20024
143,KZ.7500995.22.01.20025
170,Сертификат соответствия № ЕАЭС KZ.7500091.21.01.38333 Серия KZ № 0149245
173,сертификат соответствия №KZ.7500551.01.01.00569
180,сертификат соответствия №KZ.7500551.01.01.00568
186,сертификат соответствия №KZ.7500551.01.01.00573
189,сертификат соответствия №KZ.7500551.01.01.00628
195,сертификат соответствия №KZ.7500551.01.01.00572
196,сертификат соответствия №KZ.7500551.01.01.00567
207,сертификат соответствия №KZ.7500551.01.01.00570
209,30.12.2020 №22-2/3076
227,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00231. Серия KZ №0162008
231,Декларация о соответствия: ЕАЭСKZ.3510317.24.01.03360
233,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00239. Серия KZ №0162013
237,Сертификат соответствия: ЕАЭСKZ.KZ.3510317.22.01.00240. Серия KZ №0162014
238,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00240. Серия KZ №0162014
240,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00238. Серия KZ №0162011
241,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00237 Серия KZ №0162012
242,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00235. Серия KZ №0162009
244,Сертификат соответствия: ЕАЭСKZ.3510317.22.01.00236. Серия KZ №0162010
251,KZ.7500317.01.01.22664
420,KZ.7500317.01.01.22757
463,Декларация №KZ7100317.24.01.03119
480,KZ.7100317.24.01.01371
493,Сертификат соответствия  №KZ.7700.02.01.00683013
494,Сертификат соответствия № KZ.7700.02.01.00682310
495,Сертификат соответствия № KZ.7700.02.01.00691718
498,KZ.7500361.24.01.05505
500,KZ.7500361.24.01.05506
501,KZ.1910317.24.01.02026
507,KZ.7500986.24.01.00674
508,KZ.7500986/24/01/00675
509,KZ.7500986.22.01.00864
511,KZ7500986.22.01.00864
513,KZ.1900193.22.01.30152
516,KZ.1900193.22.01.30153
518,KZ.1900193.22.01.30154
519,_
521,№KZ.7500317.01.01.22604
522,№KZ.7500317.01.01.22605
524,KZ.7500995.01.01.00380
526,KZ.7500995.01.01.00381
527,KZ.7500995.01.01.00382
528,KZ.7500995.01.01.00383
529,KZ.7500995.01.01.00384
530,KZ.7500995.01.01.00385
531,KZ.7500995.01.01.00386
532,KZ.7500995.01.01.00387
533,KZ.7500995.01.01.00388
534,KZ.7500995.01.01.00389
535,KZ.7500995.01.01.00390
538,KZ.7500995.01.01.00391
539,KZ.7500995.01.01.00392
540,KZ.7500995.01.01.00393
544,KZ.7100749.01.01.00816
579,№ ЕАЭС KZ.7500986.22.01.02021 Cерия KZ № 0178506
593,KZ.7500985.01.01.01988
594,KZ.7500317.01.01.22808
595,KZ.7500985.01.01.01868
596,KZ.7500985.01.01.01871
597,KZ.7500985.01.01.01870
598,KZ.7500985.01.01.01869
599,KZ.7500985.01.01.01995
600,Сертификат соответствия ЕАЭС № KZ.7500986.22.014005
603,№ЕАЭС KZ.7500851.22.01.02862
605,№ЕАЭС KZ.7500851.22.01.02863
606,№ЕАЭС KZ.7500851.22.01.02864
608,№ЕАЭС KZ.7500851.22.01.02865
609,№ЕАЭС KZ.7500851.22.01.02866
611,№ЕАЭС KZ.7500851.22.01.02868
612,№ЕАЭС KZ.7500851.22.01.02829
613,№ЕАЭС KZ.7500851.22.01.30
614,№ЕАЭС KZ.7500851.22.01.02830
615,№ЕАЭС KZ.7500851.22.01.02831
617,№ЕАЭС KZ.7500851.22.01.02832
618,№ЕАЭС KZ.7500851.22.01.02833
619,№ЕАЭС KZ.7500851.22.01.02834
621,№ЕАЭС KZ.7500851.22.01.02835
623,№ЕАЭС KZ.7500851.22.01.02836
625,№ЕАЭС KZ.7500851.22.01.02837
626,№ЕАЭС KZ.7500851.22.01.02838
629,№ЕАЭС KZ.7500851.22.01.02822
630,№ЕАЭС KZ.7500851.01.01.03328
632,№ЕАЭС KZ.7500851.01.01.03329
634,№ЕАЭС KZ.7500851.01.01.03330
635,№ЕАЭС KZ.7500851.01.01.03331
638,№ЕАЭС KZ.7500851.01.01.03332
639,№ЕАЭС KZ.7500851.01.01.03333
641,№KZ.7500851.24.01.21527
643,№KZ.7500851.24.01.21528
659,№ KZ2710317.24.01.01609
664,№ KZ2710317.24.01.01610
666,KZ2710317.24.01.01611
676,№ KZ.7100317.01.01.10357
701,№ KZ.7100317.01.01.10047
727,№ KZ.7100749.01.01.00794
738,№ KZ.7100841.01.01.05420
747,№ KZ.7100841.01.01.05430
750,№ KZ.7100317.01.01.10050
768,№ KZ.7100317.01.01.10049
782,№ KZ.7100317.01.01.10375
786,№ KZ.7100317.05.01.36429
787,№ KZ.7100317.01.01.10377
801,№ KZ.7100317.01.01.10342
811,№ KZ.7100317.01.01.10341
826,№ KZ.7100317.01.01.10048
831,№ KZ.7100749.01.01.00787
832,№ KZ.7100841.01.01.05425
833,№ KZ.7100317.01.01.10367
834,№ KZ.7100749.01.01.00782
836,№ KZ.7100317.01.01.10374
837,№ KZ.7100317.01.01.10051
841,№ KZ.7100841.01.01.05417
844,№ KZ.1110317.01.01.15164
847,№ KZ.7100841.01.01.05416
854,№ KZ.7100317.01.01.10363
858,№ KZ.7100317.01.01.10356
859,№ KZ.7100317.01.01.10359
860,№ KZ.7100841.01.01.05177
862,№ KZ.7100841.01.01.05424
863,№ KZ.7100749.01.01.00795
866,№ KZ.7100317.01.01.10392
872,№ KZ.7100317.05.01.36434
882,ЕАЭС № KZ.7100317.24.01.01368
884,ЕАЭС № KZ.7100317.22.01.00100
885,ЕАЭС № KZ.7100317.24.01.01367
971,ЕАЭС № KZ.7100317.22.01.00101
972,ЕАЭС № KZ.7100317.22.01.00102
974,ЕАЭС № KZ.7100317.22.01.00103
984,ЕАЭС № KZ.7100317.22.01.00104
996,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00815
998,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00816
1000,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00856
1001,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01282
1002,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01283
1003,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00858
1005,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01368
1008,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00857
1009,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01366
1010,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01367
1012,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.00819
1022,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01286
1023,Сертификат соответствия № ЕАЭС KZ.7500651.22.01.01451
1024,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01860
1025,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01861
1026,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01862
1028,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01863
1031,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01864
1041,Декларация о соответствии ЕАЭС №KZ.7500651.24.01.01288
1043,сертификат соответствия  EAЭC KZ.7500986.21.01.04402
1057,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04699
1058,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04700
1059,Сертификат соответствия № ЕАЭС KZ.7100628.01.01.04701
