bin_iin,manufacturer_name,legal_address,actual_address,phone,email,website,date_included_in_the_registry,date_of_change,number_of_employees,oced_code,kato,production_capacity
160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",,,,,,,,,,
130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005",,,,,,,,,,
61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",,,,,,,,,,
90940018992,"LLP ""Apriori-Taraz""","080209, Republic of Kazakhstan, Zhambyl region, Zhambyl district, p. Zhalpak Tobe, Junchi, 7",,,,,,,,,,
51140001409,KazAzot JSC,"Republic of Kazakhstan, Mangystau region, Aktau,index 130000, industrial zone 6, building No. 150.",,,,,,,,,,
190540005431,Limited Liability Partnership «Aryan.Co»,"Republic of Kazakhstan, Almaty, 050036, Auezov district, microdistrict Mamyr-4, building 197a",,,,,,,,,,
810407300110,"IP ""ERZHAN""","Turkestan region, Zhetisay district, Zhetysay city, Makhambet street, building, 7 a, Republic of Kazakhstan",,,,,,,,,,
131240025177,ТОО « ImExKz»,"Republic of Kazakhstan, Ust-Kamenogorsk city,Primykanie street,26",,,,,,,,,,
180240020244,«HAIKAN MINERALS» LLP,"Republic of Kazakhstan, Nur-Sultan c., Sary arka dis., 31/2, off. 1",,,,,,,,,,
81140011987,Logos Grain LLP,"13, Tauelsizdik avenue,  Nur-Sultan city,  Republic of Kazakhstan",,,,,,,,,,
210140020229,TradeAgra LLP,"Republic of Kazakhstan, Almaty, Zhambul st. 111/72",,,,,,,,,,
90840012563,LLC “Dinar ltd”,"226 kvartal, Apt. 353. g.Shimkent, Kazakhstan",,,,,,,,,,
191140004520,"LLP ""General Caspian Group""","Aktau, 32v microdistrct",,,,,,,,,,
100440017722,"LLP ""Sercan Investment Group""","Republic of Kazakhstan, East-Kazakhstan area, Ust-Kamenogorsk city, Samarskoe highwey 17",,,,,,,,,,
70940022947,"""Empire Food"" LLP","040600, Republic Of Kazakhstan Almaty region, Zhambyl district, C. Ungurtas, building 1217",,,,,,,,,,
170740031781,"LLP ""Grain Pool""","Republic of Kazakhstan, East Kazakhstan region, city Ust-Kamenogorsk, highway Samara 17 on behalf LLP Rain Group on behalf Derya Global Logistics And Commodity Trading Co LTD on behalf of Kasara IC VE DIS TIC LTD Izmir Turkey",,,,,,,,,,
130140007195,Auliekol Agro LLP,"050059, AVENUE AL-FARABI 5, BC “NURLI-TAU”, BLOCK 1A OFFICE 401, ALMATY,REPUBLIC OF KAZAKHSTAN",,,,,,,,,,
160240009913,"""AllianceExport"" LLP","The Republic of Kazakhstan, 070000, Ust-Kamenogorsk city, Kгylov stг. 92/1",,,,,,,,,,
110840004182,Ontustik Halal Tagamdary LLP,"Republic of Kazakhstan, Taraz city, Suleymanova street 9a",,,,,,,,,,
110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",,,,,,,,,,
560119350158,ИП «Гуцало Петр Иванович»,"110000, Республика Казахстан, Костанайская область, город Костанай, улица Козыбаева, дом 14",,,,,,,,,,
100540013595,"ТОО ""СарыаркаАвтоПром""","110000, Республика Казахстан, г. Костанай, ул. Промышленная, д. 41",,,,,,,,,,
081240016614,"ТОО ""Каспий Плюс""","Казахстан, Актюбинская область, Хромтауский район, город Хромтау, улица Мухтара Ауезова, дом 10Б, почтовый индекс 031100",,,,,,,,,,
110740018035,ТОО «Костанайский Тракторный Завод»,"110006, Республика Казахстан, Костанайская область, г. Костанай, ул. Промышленная, здание 41.",,,,,,,,,,
171240006468,"АО ""Агромашхолдинг KZ""","110000, Республика Казахстан, Костанайская область  город Костанай, улица Промышленная, дом 41.",,,,,,,,,,
020940002011,ТОО МАКСАМ Казахстан,"Казахстан, Карагандинская область, г.Караганда, проспект Республики 40, 4 этаж",,,,,,,,,,
050240010381,"ТОО ""Лотос Ақтөбе""","г. Актобе, район Астана, Северо-Западная Промзона,476",,,,,,,,,,
180840010675,ТОО RM Stone,"Казахстан, Северо-Казахстанская область, Кызылжарский район, Бескольский сельский округ, село Бесколь, улица Институтская, здание 1, почтовый индекс 150700",,,,,,,,,,
160940029715,"ТОО ""Компания Гежуба Шиели Цемент""","Республика Казахстан, 120700, Кызылординская область, Шиелийский район, поселок Шиели, Зона шыгыс ондiрiстiк, здание 9",,,,,,,,,,
130140000564,АО «Усть-Каменогорский завод промышленной арматуры»,"070001, Республика Казахстан, ВКО, г. Усть-Каменогорск, ул. Островского, 49/7",,,,,,,,,,
180940034824,ТОО «Талдыкорганкабель»,"Республика Казахстан, Жетісу область, город Талдыкорган, улица Желтоксан, строение 205",,,,,,,,,,
130140022456,"ТОО ""Qut-Bereke Qurylys""","Республика Казахстан, г. Шымкент, Аль-Фарабийский р-н, ул. Молдагуловой, дом 15А, кв. 17",,,,,,,,,,
000540005962,"Товарищество с ограниченной ответственностью ""Саяхат-Сервис-Юг""","Республика Казахстан, город Шымкент, район Тұран, улица Ахмета Байтурсынова, дом 78",,,,,,,,,,
140240006678,ТОО «Производственное объединение ASCOR»,"140000, Республика Казахстан, Павлодарская область, город Павлодар, Промышленная зона Северная, строение 310",,,,,,,,,,
090240015645,"ТОО ""Asian Paints""","Республика Казахстан, Павлодарская область, г. Павлодар, ул. Путейская, строение 2, почтовый индекс 140002",,,,,,,,,,
061140000323,ТОО «Павлодарский Завод Трубопроводной Арматуры»,"Республика Казахстан, Павлодарская область, город Павлодар, улица Ломова, дом 176/5, почтовый индекс 140000",,,,,,,,,,
180840011425,ТОО «СТ Эсэмбли»,"150000, СКО РК  г. Петропавловск, ул. Нефтепроводная 1 А",,,,,,,,,,
970140000211,"ТОО ""Казцинк""","Казахстан, г. Усть-Каменогорск, Промышленная, 1",,,,,,,,,,
101040016455,"ТОО ""Костанай-МБИ""","РК, г. Костанай, ул. Карбышева 44",,,,,,,,,,
070540009013,ТОО «Батыргали и К»,"Мангистауская обл., г. Жанаозен,  мкр. Астана, ул. Магжана Жумабаева, дом 32А",,,,,,,,,,
120240021251,"ТОО ""Машиностроительная компания ""Каспий""","Республика Казахстан, Мангистауская область, Мунайлинский район, сельский округ Даулет, село Даулет, Промышленная зона 2, строение 20/9",,,,,,,,,,
180740029414,"ТОО  ""Каспий МунайТехСервис""","Мангистаукая область, Актау г.а., г.Актау, Микрорайон 11, дом 58, квартира 13",,,,,,,,,,
051140006433,ТОО «АрсикоСтройИнвест»,"Республика Казахстан, Жамбылская область, Шуский район, Толебийский сельский округ, село Толе би, ул. Балуан Шолак, дом 252, почтовый индекс 081100",,,,,,,,,,
130240016247,"Товарищество с ограниченной ответственностью ""Актюбинский рельсобалочный завод""","030000, Республика Казахстан, Актюбинская область, г. Актобе, район Алматы, жилой массив Курайлы, дом 397 ""Б""",,,,,,,,,,
140340018368,"ТОО ""Ортус А""","030000,г.Актобе, район Астана, ул.Г.Жубановой, дом 102",,,,,,,,,,
050640006237,"АО ""КАМАЗ-Инжиниринг""","020000. Республика Казахстан, Акмолинская область, г. Кокшетау, ул. Б. Ашимова, 245 А",,,,,,,,,,
191140023785,ТОО «ПРОММАШ.KZ»,"Республика Казахстан, 141200, Павлодарская область, город Экибастуз, проспект имени Д.А. Кунаева, 93",,,,,,,,,,
070740003031,"ТОО ""Глобал Мастер Групп""","030020 г.Актобе, пр.312 Стрелковой Дивизии, 14",,,,,,,,,,
160140009989,"ТОО ""GRUZOPEREVOZKA.KZ""","Казахстан, город Алматы, Алатауский район, Проспект Райымбек, дом 519/3",,,,,,,,,,
910640000209,"ТОО ""МЕХЭЛЕКТРОМОНТАЖ""","Казахстан, Алматинская область, Илийский район, сельский округ Өтеген Батыр, село Кенен Әзірбаев, улица Сүйінбай, здание 5",,,,,,,,,,
980940000817,ТОО «Hyundai Trans Auto»,"050000, г. Алматы, Турксибский район, ул. Бухтарминская, дом 70",,,,,,,,,,
170740002252,ТОО «D&P»,"Республика Казахстан, Павлодарская область, город Павлодар, улица Мәшhүp Жүсіп, строение 3",,,,,,,,,,
110540013537,ТОО «АспапГЕО»,"Республика Казахстан, г.Алматы, Ауэзовский район, мкр.10, д.2 «Б»",,,,,,,,,,
041040001863,Товарищество с ограниченной ответственностью «Корпорация Сайман»,"Республика Казахстан, 050032, г. Алматы, мкр-н Алатау, ул. Ибрагимова  9.",,,,,,,,,,
141140016872,"Товарищество с ограниченной ответственностью ""СпецОптТорг""","РК, Карагандинская область, г. Караганда, Октябрьский район, ул. Бирюзова, дом 11, почтовый индекс 100000",,,,,,,,,,
060240015888,"ТОО ""СемАЗ""","071412, Республика Казахстан,область Абай, г.Семей, ул. Би-Боранбая, 81",,,,,,,,,,
120540004163,Товарищества с ограниченной ответственностью «ИнтерСтройАвангард»,"101401, Республика Казахстан, Карагандинская область, город Темиртау, ул. Қарағанды, дом 112",,,,,,,,,,
201140018961,"ТОО ""Стандарт Бетон""",Жамбылская область Кордайский район п.Кордай ул.Н.Белашова д.39,,,,,,,,,,
041240007053,"ТОО ""Жетысуское УПП ОО ""КОС""","Республика Казахстан, Жетісу область, город Талдыкорган, Проспект Нұрсұлтан Назарбаев, строение 135",,,,,,,,,,
111140005861,"ТОО ""Артезия""","Республика Казахстан, Туркестанская обл., Сайрамский р-н, с.о. Карасуский, с. Карасу, ул. Жибек Жолы зд. 295 Б",,,,,,,,,,
140840015232,"ТОО ""КазЭнерго-1""","Республика Казахстан, г. Шымкент, Абайский район, ул. Байдукова д.16, производственная база: г. Шымкент,  Абайский район , ул. Байдукова, зд. 548",,,,,,,,,,
991040002361,"ТОО ""Темирбетон""","Республика Казахстан, область Жетicу, г. Талдыкорган, ул. Абылайхана, 266",,,,,,,,,,
931240000141,"АО ""Мунаймаш""","Г.Петропавловск ул.Ауэзова , 264",,,,,,,,,,
820217351322,"Индивидуальный предприниматель ""VIP COMPANY""","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, 1-й проезд Ярослава Гашека, строение 8",,,,,,,,,,
000840003756,ТОО PCD Group,"Юр.адрес: РК, г.Алматы, Медеуский р-н, пр.Н.Назарбаев, д.274, кв.38; Произ-во по адресу: обл.Жетісу, Сарканский р-н, г.Саркан, ул.Бейімбет Майлин, зд.23",,,,,,,,,,
210840031626,"Общественное объединение ""Общество инвалидов ""МУСА""","Туркестанская область, Сайрамский район, Манкентский с.о., с.Манкент, ул. Айнабулак, зд. 1/16",,,,,,,,,,
080240003799,ТОО «АртPLAST»,"110000, РК, г. Костанай, ул. Челябинская, дом 11Б.",,,,,,,,,,
090340000620,"ТОО ""МехЛитКом""","110700, город Житикара, улица Горная, 9, Житикаринский район, Костанайская область, Республика Казахстан.",,,,,,,,,,
020140007102,ТОО «ВИКА Казахстан»,"050067,  Республика Казахстан, г. Алматы,  Наурызбайский район,  Садоводческое общество «Дархан», ул.Аскарова, дом № 13/1",,,,,,,,,,
200540006058,ТОО «АлСар»,"110000, РК, г. Костанай, проспект Абая, дом 316А.",,,,,,,,,,
130140013704,ТОО CENTECH,"Казахстан, область Атырауская, город Атырау, Микрорайон Береке, дом 13, почтовый индекс 060017",,,,,,,,,,
990940001024,Товарищество с ограниченной ответственностью Казахстан Интегрейтед Сервисез,"Проспект Зейнолла Қабдолов, дом 70А, г. Атырау Республика Казахстан",,,,,,,,,,
921240000477,"ТОО ""Усть-Каменогоpский конденсатоpный завод""","г.Усть-Каменогорск, ул. Ж.Малдыбаева, 1",,,,,,,,,,
040140002918,"ТОО ""Павлодарская соляная компания""","Республика Казахстан, Павлодарская область, г.Павлодар, ул. Гагарина 34, кв. 10, почтовый индекс 140000",,,,,,,,,,
120140019404,"ТОО ""Marai E7 Group (Марай Е7 Групп)""","Республика Казахстан, Туркестанская область, Шардаринский район, 
г. Шардара, улица Казыбек Би, дом № 7",,,,,,,,,,
110340011098,"ТОО ""Сервис Промышленных Машин Казахстана""","Республика Казахстан, 141200, Павлодарская область, город Экибастуз, ул. Мухтара Ауэзова, строение 2Б",,,,,,,,,,
070140004107,"Товарищество с ограниченной ответственностью ""KSP Steel"" (КейЭсПи Стил)","140000 Республика Казахстан, Павлодарская область, город Павлодар,улица Майры 39/1,  оф.43",,,,,,,,,,
920440000253,"КТ ""Зенченко и компания""","Северо- Казахстанская область, Кызылжарский район, с.Новоникольское, ул.Степная 2а",,,,,,,,,,
951240000551,"АО ""Востокмашзавод""","070020, ВКО, г. Усть-Каменогорск пр-т Нурсултана Назарбаева, д. 86",,,,,,,,,,
921140000433,ТОО КУБЛЕЙ,"Республика Казахстан, Западно-Казахстанская обл., г. Уральск, ул. Григорий Потанин, 13/3.",,,,,,,,,,
950440001554,"ТОО ""Казэлектромаш""","РК, область Абай, г.Семей, Северный пром.узел, 14А",,,,,,,,,,
960340000158,"Производственный кооператив  ""Сельскохозяйственный производственный  кооператив ""Ак бота""","Республика Казахстан, область Абай, Аягозский район,  Мамырсуский сельский округ, село Бозай, улица  Бозай, дом 49А,",,,,,,,,,,
110440010866,"Товарищество с ограниченной ответственностью ""Sigma Solutions""","проспект Азаттык, 78А, 060005, Республика Казахстан",,,,,,,,,,
151040011700,"ТОО ""Maker (Мэйкер)""","Республика Казахстан, Ұлытау область,г.Жезказган, улица Абая 9/3",,,,,,,,,,
930440000929,"ТОО ""ТЕНГИЗШЕВРОЙЛ""","Республика Казахстан, 060011,  г. Атырау, ул. Сатпаева, 3",,,,,,,,,,
050640005368,"ТОО ""Уральское учебно-производственное предприятие общественного объединения  Казахское общество слепых""","РК, Западно-Казахстанская область, г. Уральск, мкр-н Северо-Восток-2, д. 2",,,,,,,,,,
180740014575,ТОО Hyundai Trans Kazakhstan,"Республика Казахстан, г. Алматы, Алатауский район, Микрорайон Алгабас, улица 7, дом 138/5",,,,,,,,,,
191240011517,"ТОО ""КаспиМунайКапитал""","КАЗАХСТАН,город Уральск, Промышленная зона Желаево, строение 27Б",,,,,,,,,,
530427400612,ИП Беркалиева,г.Алматы. пр.Гагарина 148 кв.101,,,,,,,,,,
210540000487,ТОО «Termogroup»,"Республика Казахстан, город Алматы, Бостандыкский район, улица Джандарбекова, дом 123",,,,,,,,,,
180940029759,ТОО МАТЕХ (МАТЕКС),"г. Петропавловск, ул. Имени Жамбыла, здание 249",,,,,,,,,,
160540026151,ТОО «Лифтостроительная компания «АЛАТАУ»,"Республика Казахстан, г.Алматы, Жетысуский район, Проспект Рыскулова, дом 43",,,,,,,,,,
