id,code,rpp_name
1,,"РПП ""Региональная палата предпринимателей Жамбылской области"""
7,,"РПП ""Региональная палата предпринимателей Туркестанской области"""
51,,Региональная палата предпринимателей Жамбылской области
54,,Региональная палата предпринимателей Мангистауской области
55,,Региональная палата предпринимателей г.Алматы
57,,Региональная палата предпринимателей Восточно-Казахстанской области
58,,Палата предпринимателей города Нур-Султан
60,,Региональная палата предпринимателей города Нур-Султан
61,,Региональная палата предпринимателей Акмолинской области
67,,Региональная палата предпринимателей Павлодарской области
70,,Палата предпринимателей Акмолинской области
71,,Палата предпринимателей г.Алматы
76,,Региональная палата предпринимателей Северо-Казахстанской области
95,120,Палата предпринимателей области Ұлытау
96,111,Палата предпринимателей Костанайской области
97,104,Палата предпринимателей Актюбинской области
98,110,Палата предпринимателей Карагандинской области
99,115,Палата предпринимателей Северо-Казахстанской области
100,112,Палата предпринимателей Кызылординскй области
101,107,Палата предпринимателей Восточно-Казахстанской области
102,119,Палата предпринимателей области Жетісу
103,116,Палата предпринимателей города Шымкент
104,114,Палата предпринимателей Павлодарской области
105,113,Палата предпринимателей Мангистауской области
106,108,Палата предпринимателей Жамбылской области
107,118,Палата предпринимателей области Абай
108,117,Палата предпринимателей Туркестанской области
109,106,Палата предпринимателей Атырауской области
110,109,Палата предпринимателей Западно-Казахстанской области
111,101,Палата предпринимателей города Астана
112,105,Палата предпринимателей Алматинской области
113,103,"РПП ""Региональная палата предпринимателей Акмолинской области"""
114,102,"РПП ""Региональная палата предпринимателей г.Алматы"""
115,,"РПП ""Палата предпринимателей области Жетісу"""
149,,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области"""
153,,"РПП ""Региональная палата предпринимателей Карагандинской области"""
205,,"РПП ""Региональная палата предпринимателей Костанайской области"""
208,,"РПП ""Региональная палата предпринимателей Атырауской области"""
213,,"РПП ""Палата предпринимателей области Абай"""
221,,"РПП ""Региональная палата предпринимателей Кызылординскй области"""
278,,"РПП ""Региональная палата предпринимателей Актюбинской области"""
293,,"РПП ""Региональная палата предпринимателей города Шымкент"""
311,,"РПП ""Региональная палата предпринимателей Северо-Казахстанской области"""
323,,"РПП ""Региональная палата предпринимателей Восточно-Казахстанской области"""
342,,"РПП ""Региональная палата предпринимателей города Астана"""
364,,"РПП ""Региональная палата предпринимателей Павлодарской области"""
696,,"РПП ""Региональная палата предпринимателей Алматинской области"""
3114,,"РПП ""Региональная палата предпринимателей Мангистауской области"""
4062,,"РПП ""Палата предпринимателей области Ұлытау"""
7110,,"РПП ""Палата предпринимателей Карагандинской области"""
10888,,"ИОПФНО ""Региональная палата предпринимателей Карагандинской области"""
15481,,"РПП Региональная палата предпринимателей г.Алматы"""
124456,,"Региональная палата предпринимателей города Шымкент"""
139042,,"ИОПФНО ""Региональная палата предпринимателей Жамбылской области"""
161344,,"ИОПФНО ""Региональная палата предпринимателей г.Алматы"""
168706,,"ИОПФНО ""Региональная палата предпринимателей Костанайской области"""
170816,,"ИОПФНО ""Региональная палата предпринимателей Актюбинской области"""
174960,,"ИОПФНО ""Региональная палата предпринимателей города Шымкент"""
176510,,"ИОПФНО ""Региональная палата предпринимателей Алматинской области"""
178098,,"ИОПФНО ""Региональная палата предпринимателей Туркестанской области"""
178134,,"ИОПФНО ""Региональная палата предпринимателей города Астана"""
179775,,"ИОПФНО ""Региональная палата предпринимателей Павлодарской области"""
180121,,"ИОПФНО ""Региональная палата предпринимателей Северо-Казахстанской области"""
180196,,"ИОПФНО ""Региональная палата предпринимателей Кызылординскй области"""
180200,,"ИОПФНО ""Палата предпринимателей области Абай"""
180311,,"ИОПФНО ""Палата предпринимателей области Жетісу"""
180422,,"ИОПФНО ""Региональная палата предпринимателей Атырауской области"""
180482,,"ИОПФНО ""Региональная палата предпринимателей Западно-Казахстанской области"""
180684,,"ИОПФНО ""Региональная палата предпринимателей Акмолинской области"""
180740,,"ИОПФНО ""Региональная палата предпринимателей Восточно-Казахстанской области"""
181960,,"ИОПФНО ""Региональная палата предпринимателей Мангистауской области"""
197907,,"ИОПФНО ""Палата предпринимателей Карагандинской области"""
208057,,"ИОПФНО ""Палата предпринимателей области Ұлытау"""
