Код РПП,Наименование РПП,Номер сертификата происхождения,Номер бланка,Год выдачи,Цель получения сертификата,Категория,ИИН/ БИН производителя,Наименование производителя,Адрес производителя,Наименование товара,Код ТН ВЭД,Код КП ВЭД,Количество товара,Единица измерения,Код единицы измерения,Критерий происхождения,ДВЦ,ИИН/БИН получателя,Наименование получателя,Адрес получателя,Дата окончания действия сертификата,Статус сертификата,Дата выдачи
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0001A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"68,23",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0001A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,40,шт,796,Д8421,"76,31",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0002A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"78,75",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0002AS СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"77,28",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0002A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,87,-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0003A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"80,34",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0003A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"83,37",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-К 0004A (компл.) СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"79,51",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0004A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"87,55",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0004A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"81,72",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0005A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"81,65",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0005A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"89,07",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0006A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"83,85",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0006A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"88,52",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0007A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"74,48",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0007A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,15,шт,796,Д8421,"79,39",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0008A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,25,шт,796,Д8421,"74,55",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0008A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"78,44",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-К 0009A (компл.) СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,40,шт,796,Д8421,"80,99",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0009A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,40,шт,796,Д8421,"84,3",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0009A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"81,89",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0010A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,85,шт,796,Д8421,"79,9",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0011A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,70,шт,796,Д8421,76,-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0011A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,25,шт,796,Д8421,"77,87",-,-,-,27.03.2026,Действующий,27.03.2025
