Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо сливочное фисташковое с шоколадной начинкой, глазурью и фисташковым наполнителем в молочном шоколаде ""Bahroma"" Trio Фисташка"" - 6864 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир шоколадный и со вкусом белого шоколада двухслойный в трехцветном сахарном вафельном рожке с глазурью ""Bahroma"" Три Шоколада"" - 2112 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо пломбир с черносливом в глазури, со сливовым соусом в молочном шоколаде «Bahroma Double Чернослив» - 11000 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо пломбир с курагой в глазури, с соусом из абрикоса в молочном шоколаде «Bahroma Double Курага»  - 6600 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо молочное с ароматом ванили с наполнителем из граната и черешни, во фруктовой глазури со вкусом гранат-вишни ""Bahroma"" Фруктовый лукум"" Гранат-черешня"" - 13200 шт;",2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Лёд молочный со вкусом дыни «Вahroma» Melon"" - 12960 шт;",2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Лед молочный с клубничным пюре «Bahroma» - 12960 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое эскимо фундучный пломбир с наполнителем «Шоколадная нуга» в молочном шоколаде с фундуком и арахисом «Bahroma «Фундук и шоколадная нуга» - 17160 шт;,2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо с заменителем молочного жира с ароматом ванили в глазури, с вафельной крошкой ""Бомба"" вафельный MIX"" - 6480 шт;",2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир с ароматом ванили в вафельном стаканчике ""Мишка на полюсе"" - 4536 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир шоколадный в вафельном стаканчике ""Мишка на полюсе"" - 4536 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир с ароматом топленого молока ""Мишка на полюсе"" - 3432 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое пломбир с ароматом ванили ""Мишка на полюсе"" - 3744 шт;",2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое пломбир двухслойный фисташковый и ванильный «Мишка на полюсе» - 728 шт;,2105009900,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58","Мороженое эскимо с заменителем молочного жира с ароматом крем-брюле с начинкой со вкусом вареной сгущенки, в глазури со вкусом карамели «Коровка» - 3744 шт;",2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 119 01449,"РПП ""Палата предпринимателей области Жетісу""",СТ-1 (Узбекистан),4018889,020940000580,"ТОО ""Шин-Лайн""","040704, Республика Казахстан, Алматинская область, Илийский район, Байсеркенский сельский округ, село Байсерке, Дорога 22 км 500 м, автодорога Алматы-Жетыген, здание 58",Мороженое с заменителем молочного жира с ароматом бискоттино с начинкой со вкусом шоколада «Розочка» - 8400 шт;,2105009100,Д 2105,Республика Казахстан,Узбекистан,Действующий,27.03.2025
