Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,3/28/2025
KZ RS 5 109 00740,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800022,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk
 containers 
800С1-125х215/600-5/41-10-40; 
131,5х270/7d1а-0,09  “BASIC” 
(order № 11/2025)
Gross weight/ Net weight  	
20632,5/18742,5kg



",6305321900,"Y 45,46",Республика Казахстан,Serbia,Действующий,19.3.2025,19.03.2026
KZ RS 5 109 00702,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800021,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 
131,5х270/7d1а-0,09 “BASIC” 
(order № 10/2025)
Gross weight/ Net weight  	20632,5/18742,kg",6305321900,"Y 49,13",Республика Казахстан,Serbia,Действующий,18.3.2025,18.03.2026
KZ RS 5 106 00536,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000987,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,13.3.2025,13.03.2026
KZ RS 5 106 00537,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000988,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,13.3.2025,13.03.2026
KZ RS 5 106 00540,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000986,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,13.3.2025,13.03.2026
KZ RS 5 106 00524,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000981,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00520,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000977,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00521,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000978,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00522,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000979,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00523,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000980,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00509,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000975,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21% ",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00510,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000976,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y 6,21% ",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00527,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000984,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21% ",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00526,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000983,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00528,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000985,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 109 00648,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800020,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  “BASIC” (order № 9/2025)
Gross weight/ Net weight  	14246,25/12941,25kg



",6305321900,Y 49.61,Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 109 00648,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800020,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers   
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  “ CASPIT NPK 8-24-24-3S ” (order № 9/2025)
Gross weight/ Net weight 6386,25/5801,25kg",6305321900,Y 49.61,Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00525,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000982,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,12.3.2025,12.03.2026
KZ RS 5 106 00495,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000974,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 106 00483,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000969,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 106 00484,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000970,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 106 00485,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000971,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 106 00486,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000972,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21% ",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 106 00487,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000973,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y6,21%",Республика Казахстан,Serbia,Действующий,11.3.2025,11.03.2026
KZ RS 5 109 00603,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800019,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09 “BASIC” (order № 8/2025)
Gross weight/ Net weight  	19158,75/17403,75kg



",6305321900,Y 46.83,Республика Казахстан,Serbia,Действующий,6.3.2025,06.03.2026
KZ RS 5 109 00603,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800019,221240039971.0,LLC PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  (order № 8/2025)
Gross weight/ Net weight  	1473,75/1338,75kg",6305321900,Y 46.83,Республика Казахстан,Serbia,Действующий,6.3.2025,06.03.2026
KZ RS 5 109 00534,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800017,221240039971.0,LLС   PACKAGING SYSTEMS,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09 “BASIC” (order № 5/2025)
Gross weight/ Net weight  	20632,50/18742,50kg



",6305321900,"Y 48,54",Республика Казахстан,Serbia,Действующий,28.2.2025,28.02.2026
KZ RS 5 106 00403,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000967,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89% ",Республика Казахстан,Serbia,Действующий,27.2.2025,27.02.2026
KZ RS 5 106 00413,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000968,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89%",Республика Казахстан,Serbia,Действующий,27.2.2025,27.02.2026
KZ RS 5 109 00528,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800016,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk 
containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  “BASIC” 
(order № 6/2025)
Gross weight/ Net weight  	
20632,5/18742,5kg



",6305321900,"Y 48,55",Республика Казахстан,Serbia,Действующий,27.2.2025,27.02.2026
KZ RS 5 106 00397,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000966,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,Y12.89%,Республика Казахстан,Serbia,Действующий,26.2.2025,26.02.2026
KZ RS 5 109 00516,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800015,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,.","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  “BASIC” (order № 7/2025)
Gross weight/ Net weight  	20632,5/18742,5kg



",6305321900,"Y45,39",Республика Казахстан,Serbia,Действующий,26.2.2025,26.02.2026
KZ RS 5 106 00357,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000959,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89% ",Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
KZ RS 5 106 00369,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000963,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89%",Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
KZ RS 5 106 00367,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000962,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89% ",Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
KZ RS 5 106 00370,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000964,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,Y12.89%,Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
KZ RS 5 106 00361,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000960,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89% ",Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
KZ RS 5 106 00362,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000961,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89% ",Республика Казахстан,Serbia,Действующий,25.2.2025,25.02.2026
