Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,28.03.2025
KZ VN 5 110 01300,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700368,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

GESU3070407, seal 3556121-24
PONU0157778, seal 3556125-26
FCIU3762669, seal 3556129-32
PONU0908230, seal 3556133-34
FOLU2045960, seal 3556137-40
TGHU3235881, seal 3556141-42
KKTU7477493, seal 3556145-48
MICU6311599, seal 3556149-52",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,29.01.2025,29.01.2026
KZ VN 5 110 01298,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700367,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

XYLU1165212, seal 3556529-32
JZPU1090347, seal 3556533-36",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,29.01.2025,29.01.2026
KZ VN 5 110 00972,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700365,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

XYLU1165212, seal 3556529-32
JZPU1090347, seal 3556533-36",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,24.01.2025,24.01.2026
KZ VN 5 110 00975,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700366,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION 3.2-5MM (90% MIN)

HS CODE: 720221

GESU3070407, seal 3556121-24
PONU0157778, seal 3556125-26
FCIU3762669, seal 3556129-32
PONU0908230, seal 3556133-34
FOLU2045960, seal 3556137-40
TGHU3235881, seal 3556141-42
KKTU7477493, seal 3556145-48
MICU6311599, seal 3556149-52",7202210000,WO,Республика Казахстан,Viet Nam,Действующий,24.01.2025,24.01.2026
KZ VN 5 110 00462,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700364,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","FERROSILICON 68 FRACTION
3.2-5MM (90% MIN)

HS: 720221

XYLU1202390, seal 3556521-24
XYLU1262207, seal 3556525-28
JZPU1137444, seal 3556537-40
JZPU2147880, seal 3556541,42,44, 9974011
XYLU1212021, seal 3556545-48
XYLU1255240, seal 3556549-52
CBHU5911022, seal 3556553-56
TEMU4558721, seal 3556557-60",7202210000,Р,Республика Казахстан,Viet Nam,Действующий,15.01.2025,15.01.2026
KZ VN 4 102 15851,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600042,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22/8,Спрей VIP SPA-SKY 30 гр,2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,13.12.2024,13.12.2025
KZ VN 4 102 15698,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600040,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21",Toothpaste Luxury night 120 gr,3306100000,-,Китай,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15698,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600040,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21",Toothpaste Luxury day 160 gr,3306100000,-,Китай,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate «Perfecto LUX»,100ml,",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate""Vitality Lux"", 100ml,",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate""Smart Lux"" 100 ml",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15697,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600041,190540001756.0,"ТОО ""GLOB@L Plus""","Republic of Kazakhstan, Almaty, District Mamyr-7, Building 21","Plant concentrate«Immuno Lux», 20 ml",2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,11.12.2024,11.12.2025
KZ VN 4 102 15477,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600039,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22/8,SPA SKY-53 concentrate (100 ml 1 piece),2106905800,PSR2106,Республика Казахстан,Viet Nam,Действующий,06.12.2024,28.03.2025
KZ VN 4 110 11445,"РПП ""Региональная палата предпринимателей Карагандинской области""",«EAV»,1700362,161140023016.0,YDD Corporation LLP,"The Republic of Kazakhstan, Karaganda region, Karaganda city, Alikhan Bukeikhan district, uchetnyi kvartal 018, building 338","Ferrosilicon 68
fraction 3,2-5 (0-5) mm

HS: 720221

FCIU4256449, seal 9975113-16
MEDU3038698, seal 9975117-20
MSMU2300235, seal 9975121-24
TGBU2473327, seal 9975125-28
MEDU5918922, seal 9975129-32
MSMU2178702, seal 9975133-36",7202210000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,05.09.2024,10.01.2023
KZ VN 4 101 02295,"РПП ""Региональная палата предпринимателей города Астана""",«EAV»,1800054,120540001684.0,NavyCo LLP,"Kazakhstan, 010000, Nur-Sultan city, Esil district, 6/6 Gabanbai Batyr avenue, VP 3","Engine UTD20S1 (complected with gear box, starter and generator)",8710000000,PSR,Республика Казахстан,Viet Nam,Истек срок действия сертификата,26.08.2024,10.01.2023
KZ VN 4 102 10105,"РПП ""Региональная палата предпринимателей г.Алматы""",«EAV»,1600022,101140018306.0,ТОО Spa-Sky Production,г Алматы ул Остроумова 22 ж,SPA SKY-53 концентр (100 мл 1 литр),2106905800,PSR2106,Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.08.2024,03.01.2023
