Регистрационный номер индустриального сертификата,БИН/ИИН,"Наименование производителей товаров, работ, услуг","Вид деятельности согласно ОКЭД (перв, вторич.)",Регион согласно КАТО,Юридический адрес,Почтовый (фактический) адрес,Почтовый (фактический) адрес материально-технической базы,Телефон,Электронный адрес,Web - сайт,"Наименование товаров (категория), работ, услуг","Производственная мощность, кол-во единиц в год",ТН ВЭД ЕАЭС,КП ВЭД,Номер документа об оценке соотвествия,Дата выдачи документа об оценке соотвествия,Дата окончания документа об оценке соотвествия,Номер и дата лицензии или разрешения,Количество сотрудников,Дата включения в Реестр,Дата внесения изменений и/или дополнений,"Дата проведения актуализации сведений, указанных в Реестре"
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Простыня - 1 Категория,492000,6302210000,13.92.12,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Наволочка  - 1 Категория,295000,6302210000,13.92.12,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Полотенце хлопчатобумажное  - 1 Категория,1968000,6302910000,13.92.14,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Полотенце хлопчатобумажное банное  - 1 Категория,1968000,6302910000,13.92.14,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Матрац ватный  - 1 Категория,23000,9404909000,13.92.24,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Подушка ватная  - 1 Категория,118000,9404909000,13.92.24,KZ.7500651.01.01.06223,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Одеяло полушерстяное  - 1 Категория,107000,6301209000,13.92.11,KZ.7500651.01.01.06224,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Покрывало хлопчатобумажное  - 1 Категория,107000,6304191000,13.92.11,KZ.7500651.24.01.01772,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Костюм госпитальный летний  - 1 Категория,107000,6211321000,14.12.11,KZ.7500651.01.01.06219,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Костюм госпитальный утепленный  - 1 Категория,59000,6211321000,14.12.11,KZ.7500651.01.01.06219,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Брюки хлопчатобумажные поварские  - 1 Категория,295000,6203421100,14.12.11,KZ.7500651.01.01.06220,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Куртка хлопчатобумажная поварская  - 1 Категория,73000,6203321000,14.12.11,KZ.7500651.01.01.06220,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
