Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 4 102 00005,ТОО «Первомайские деликатесы»,Мясо говядина на кости первой категории,Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,4 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,4 - 1,5 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,5 - 1,6 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,6 - 1,7 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 1,8 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,1 - 1,2 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка без крыльев ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,0  -  2,5 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 0,8 - 1,3 кг., вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Окорочок ЦБ, монолит, зам.",Действителен до
