Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/экспортера,Наименование отправителя/экспортера,Адрес отправителя/экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи,12.03.2025
KZ IR 5 108 00700,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802202,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,20.02.2025,20.02.2026
KZ IR 5 108 00217,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802201,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,25.01.2025,25.01.2026
KZ IR 5 108 00171,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802200,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,22.01.2025,22.01.2026
KZ IR 4 108 07447,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802199,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,29.12.2024,29.12.2025
KZ IR 4 108 07424,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802198,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,27.12.2024,27.12.2025
KZ IR 4 108 07397,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802197,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,26.12.2024,26.12.2025
KZ IR 4 117 00738,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900007,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,26.12.2024,26.12.2025
KZ IR 4 108 07335,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802196,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,23.12.2024,23.12.2025
KZ IR 4 108 07313,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802194,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,20.12.2024,20.12.2025
KZ IR 4 108 07321,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802195,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,20.12.2024,20.12.2025
KZ IR 4 108 07221,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802193,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,17.12.2024,17.12.2025
KZ IR 4 108 07215,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802192,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,15.12.2024,15.12.2025
KZ IR 4 108 07149,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802191,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,11.12.2024,11.12.2025
KZ IR 4 108 07116,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802190,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,09.12.2024,09.12.2025
KZ IR 4 117 00705,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900006,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,06.12.2024,06.12.2025
KZ IR 4 108 07063,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802189,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,04.12.2024,04.12.2025
KZ IR 4 117 00697,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900005,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,03.12.2024,03.12.2025
KZ IR 4 108 07009,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802188,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,01.12.2024,01.12.2025
KZ IR 4 108 06853,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802187,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,21.11.2024,21.11.2025
KZ IR 4 117 00657,"РПП ""Региональная палата предпринимателей Туркестанской области""",СТ-3,1900004,130840009404,"LLP ""KAZTEX (КАЗТЕКС)""","Kazakhstan, Shymkent city, Turan district, Asanbay Askarov street, building 34B, postal code 160005","Cotton fiber, not carded or combed",5201009000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,18.11.2024,18.11.2025
KZ IR 4 108 06772,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802186,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,18.11.2024,18.11.2025
